N2_thermo_1D,cp,h,u,mu,k
335.678391959799,1041.8512424912733,348356.5463699077,248720.62903560774,1.9494231407343903e-05,0.028490153170639198
336.6834170854271,1041.876871060542,349403.6458698491,249468.9094881019,1.9538325514809553e-05,0.028559773469118418
337.6884422110553,1041.9031535067859,350450.77145541547,250217.21971228643,1.958236216794578e-05,0.028629319422524238
338.6934673366834,1041.9300935591828,351497.92378564394,250965.56033045158,1.9626341572116594e-05,0.028698791292896896
339.69849246231155,1041.957694936172,352545.1035233149,251713.9319691122,1.9670263931670935e-05,0.028768189341070744
340.7035175879397,1041.9859613441915,353592.31133493985,252462.33525898794,1.9714129449948768e-05,0.028837513826680303
341.7085427135678,1042.0148964764437,354639.54789074865,253210.77083498283,1.9757938329286965e-05,0.028906765008165962
342.713567839196,1042.0445040116833,355686.81386467593,253959.23933616397,1.9801690771025265e-05,0.02897594314277998
343.7185929648241,1042.0747876130276,356734.1099343456,254707.74140573887,1.9845386975512158e-05,0.029045048486592246
344.72361809045225,1042.1057509267912,357781.4367810548,255456.27769103213,1.988902714211073e-05,0.029114081294496146
345.7286432160804,1042.137397581344,358828.7950897568,256204.84884346073,1.993261146920451e-05,0.029183041820214424
346.7336683417085,1042.1697311859891,359876.1855490411,256953.45551850845,1.997614015420327e-05,0.029251930316304967
347.7386934673367,1042.2027553298701,360923.60885111557,257702.09837569945,2.001961339354876e-05,0.0293207470341666
348.7437185929648,1042.2364735808926,361971.06569178385,258450.7780785704,2.006303138272047e-05,0.02938949222404492
349.74874371859295,1042.2708894846746,363018.55677042506,259199.49529464266,2.010639431624131e-05,0.029458166135038013
350.7537688442211,1042.3060065635175,364066.08278996934,259948.250695392,2.0149702387683297e-05,0.029526769015102323
351.7587939698492,1042.341828315398,365113.6444568756,260697.04495621953,2.0192955789673155e-05,0.029595301111058233
352.7638190954774,1042.3783582129859,366161.24248110474,261445.87875641923,2.0236154713897947e-05,0.02966376266859598
353.7688442211055,1042.4155997026778,367208.8775760952,262194.7527791469,2.0279299351110645e-05,0.029732153932281243
354.77386934673365,1042.4535562036583,368256.5504587357,262943.66771138704,2.0322389891135646e-05,0.029800475145560914
355.7788944723618,1042.4922311069824,369304.2618493366,263692.6242439187,2.0365426522874293e-05,0.02986872655076877
356.78391959798995,1042.531627774675,370352.0124716024,264441.6230712816,2.0408409434310357e-05,0.02993690838913111
357.7889447236181,1042.5717495388562,371399.8030526014,265190.6648917408,2.045133881251543e-05,0.0300050209007724
358.7939698492462,1042.6125997008892,372447.6343227354,265939.7504072501,2.0494214843654417e-05,0.03007306432472101
359.79899497487435,1042.6541815305413,373495.50701570825,266688.88032341585,2.0537037712990845e-05,0.03014103889891467
360.8040201005025,1042.6964982651773,374543.421868494,267438.05534945935,2.0579807604892216e-05,0.03020894486020619
361.80904522613065,1042.7395531089633,375591.37962130335,268187.2761981781,2.0622524702835356e-05,0.030276782444368995
362.8140703517588,1042.7833492320976,376639.38101755077,268936.54358590796,2.066518918941166e-05,0.03034455188610265
363.8190954773869,1042.8278897700618,377687.42680381885,269685.85823248205,2.0707801246332354e-05,0.030412253419038433
364.82412060301505,1042.8731778228873,378735.51772982423,270435.220861192,2.0750361054433736e-05,0.0304798872757449
365.8291457286432,1042.9192164544484,379783.6545483808,271184.63219874626,2.0792868793682304e-05,0.030547453687733272
366.83417085427135,1042.9660086917695,380831.83801536314,271934.09297522856,2.083532464317997e-05,0.030614952885462968
367.8391959798995,1043.0135575243585,381880.06888966955,272683.60392405646,2.0877728781169148e-05,0.03068238509834711
368.8442211055276,1043.0618659035542,382928.34793318366,273433.1657819382,2.092008138503787e-05,0.03074975055475787
369.8492462311558,1043.1109367418953,383976.67591073556,274182.77928882925,2.096238263132482e-05,0.030817049482031983
370.8542713567839,1043.16077291251,385025.05359006295,274932.44518788916,2.1004632695724385e-05,0.030884282106476018
371.85929648241205,1043.2113772485238,386073.4817417712,275682.164225437,2.1046831753091638e-05,0.030951448653371853
372.8643216080402,1043.2627525424841,387121.9611392926,276431.9371509065,2.108897997744732e-05,0.031018549346982012
373.8693467336683,1043.314901545808,388170.49255884514,277181.76471680065,2.113107754198275e-05,0.031085584410554902
