Position X [mm],Radius Y [mm],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],Channel Width [mm],Channel Height [mm],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Heat Flux [MW/m2],Coolant Velocity [m/s],Coolant Density [kg/m3],Coolant Quality
-7.865427209468707,15.4707114343113,0.5761372876112386,3051.044627964231,8108.835014992119,1.1604726215661367,0.75,888.455854090442,303.9200016698868,298.32867702862086,56.66071626774434,17.536075572616657,43.19926333175877,381.6693963666453,0.3330423918327917
-7.328847944974866,15.261337555595048,0.6013388747810244,3050.30573498315,8303.211448290815,1.1373930622949586,0.75,899.2673605005372,303.91647860997386,298.39656618381355,56.742076206532204,17.860526456716897,43.464326436914185,387.0392853782628,0.3248386378540012
-6.78670325632121,15.066828263431224,0.6273781034022609,3049.512708322073,8489.484138736347,1.1159520460382277,0.75,909.5027995252442,303.91679360960086,298.467432772938,56.82743933051551,18.167580177469297,43.66557909559387,392.65743101037094,0.3164429212952537
-6.239404840567226,14.88733126544346,0.6542525181542622,3048.6632013715034,8666.199918044787,1.0961658548024464,0.75,919.110685984687,303.93975817411035,298.541096973625,56.91665737024777,18.4551278343173,43.79878925554799,398.5292507169351,0.30786104741301845
-5.687368308440346,14.72298286913011,0.6819514265276326,3047.7551680720767,8831.902563760288,1.078049513943243,0.75,928.0157217051035,303.97131334269386,298.617365328602,57.009518020603295,18.721332250872287,43.86009747328782,404.66000001040504,0.29909983563730225
-5.131012868727009,14.57390787835426,0.7104601921166657,3046.786775336653,8985.154615957797,1.0616167807553354,0.75,936.076968670296,303.90850325977567,298.695960977827,57.10579116185577,18.965053962315608,43.846214377893,411.0538310062088,0.2901666620368359
-4.570761009931393,14.440219498569412,0.7397702275522158,3045.7560822568153,9124.558230132492,1.0468801340254261,0.75,943.3706339011885,303.92601904438436,298.7765999860734,57.205140374097844,19.183338445704123,43.75445603031784,417.7142877005208,0.2810700673416172
-4.007038179443583,14.322019250852868,0.7698565297304397,3044.661847121849,9248.788827511053,1.0338507645559951,0.75,949.7976809541857,303.9658044473608,298.8588560288082,57.307218748558654,19.374956295204743,43.583014861138395,424.6424972687969,0.27181976668124147
-3.4402724604608004,14.219396894812043,0.8006952898294051,3043.5029666954447,9356.61502504442,1.0225385666671554,0.75,955.2911799218671,304.00472060184984,298.9423808108807,57.41149700808917,19.538593779600514,43.33069109758206,431.8403954397692,0.26242775013784675
-2.8708942469070373,14.132430360422278,0.8322651812915934,3042.278430271343,9446.923153471706,1.0129521306830487,0.75,959.8064320477896,304.04133416530385,299.0267562149296,57.517542072488254,19.672952936474573,42.99721050761511,439.3082653613022,0.25290570759670916
-2.299335916597958,14.061185688847916,0.8645389072920133,3040.987658496888,9518.744768652023,1.0050987364084718,0.75,963.3115462956541,304.0825921633618,299.11154865198404,57.62482951785783,19.77686862396877,42.5831907268362,447.04542128915676,0.2432670083709123
-1.7260315028992608,14.005716982291574,0.8974831681673532,3039.6305498374177,9571.278961193118,0.9989843476006988,0.75,965.7813402365786,304.1350299519289,299.19629583617154,57.732812062163205,19.849389308539486,42.09019485868406,455.04983146203733,0.23352611037138596
-1.1514163651278364,13.966066362909679,0.9310654857707712,3038.2072301829958,9603.908239810524,0.9946136074406834,0.75,967.1826132147369,304.18493375634046,299.2805441737581,57.840902453604855,19.889930383751892,41.52067394641761,463.3186551257777,0.2236988064620509
-0.5759268579460222,13.9422639408255,0.9652505598396582,3036.7182134369164,9616.215247568362,0.9919898350070934,0.75,967.5052159840827,304.2386300983303,299.3638381223729,57.94852094896563,19.89799757657257,40.877972309826376,471.84788285549655,0.2138016764051662
-0.0,13.934327791263948,0.9896477828729605,3035.631475327962,9613.438447148923,0.9911150227558531,0.75,967.140332989459,304.2965904779936,299.44574669406614,58.05508178270198,19.88531227534396,40.16587202409125,480.6371310329417,0.20385231351070388
0.0,13.934327791263948,0.9896477828729605,3035.631475327962,9613.438447148923,0.9911150227558531,0.75,967.140332989459,304.2965904779936,299.44574669406614,58.16002718653877,19.88531227534396,40.16587202409125,480.6371310329417,0.19386367502611487
0.1088679102259833,13.935441228693632,0.9869207305032585,3035.7539244213426,9613.481826989979,0.9912377584347767,0.75,967.1840580460769,304.3120974374867,299.46116141707313,58.16002718653877,19.886158818257705,40.01985899365798,482.3310125866784,0.1938636750258568
0.21769027486397294,13.938781075168995,0.9739180841193568,3036.334394213251,9616.085032576415,0.9916059141242897,0.75,967.4731961941386,304.3283561691486,299.47649233200553,58.179794737074666,19.894345200749697,39.86420701424106,484.0345251408276,0.19196912007155287
0.3264215673802639,13.944345933443861,0.9609980771876891,3036.9056032998224,9615.802815134875,0.9922193358040997,0.75,967.6123222692263,304.34845036677007,299.4917263724536,58.19946029527347,19.897916157073688,39.69912549846613,485.74680377811507,0.19007321952522951
0.43501629934175695,13.952133475424105,0.9481559525913825,3037.4677953725354,9612.645322419954,0.9930777668453158,0.75,967.5959572314894,304.3644958009787,299.506851185662,58.21900700607139,19.89694384291532,39.5248396812377,487.46697886004716,0.18817701161117012
0.5434290394463361,13.962140443141628,0.9354014587274325,3038.020582598068,9606.62040847778,0.9941808481178098,0.75,967.4326459219662,304.38756825461485,299.5218537755838,58.2384189124606,19.89135233002054,39.341592906548044,489.194138868128,0.18628152435730913
0.6516144325293456,13.974362650117348,0.9227365785753334,3038.563927933984,9597.744969606592,0.9955281181404613,0.75,967.1130480610482,304.4044726581276,299.5367129787222,58.257679214741756,19.881257262087615,39.14965649305693,490.92719551612595,0.18438780989761078
0.7595272185382126,13.988794983112642,0.9101627633162751,3039.097822588202,9586.041119283202,0.9971190132742223,0.75,966.6482055510216,304.4286306656504,299.55142128654956,58.27676060630882,19.866587246561135,38.9492956219344,492.66529724965267,0.18249705407735106
0.867122251467281,14.005431404268505,0.8976831233401391,3039.6221932490803,9571.535032374843,0.9989528679579165,0.75,966.0294147068511,304.4472172836365,299.5659603055093,58.29565329445241,19.847465922696433,38.74080585789698,494.4073624281413,0.18061023002260634
0.9743545182449327,14.024264953631521,0.8853021152171103,3040.13691869092,9554.25703696628,1.0010289149866838,0.75,965.2649862626347,304.4696608890756,299.58031588527274,58.314333490303575,19.823859761206773,38.52448929847075,496.152364330386,0.17872848882897788
